product_title,product_description,available_stock,product_rating,sold_by,brand,product_category,age_group,product_price,image_url
Pain Relief Tablets,Effective pain relief tablets,200,4.5,Pharma World,Relifex,Medications,Adults,10.99,https://images-na.ssl-images-amazon.com/images/I/71Agxp1vEfL._AC_UL200_SR200,200_.jpg
Cough Syrup,Relieves cough and chest congestion,150,4.2,MediCure,CoughAway,Medications,Adults,8.49,https://atlas-content-cdn.pixelsquid.com/assets/894403576858679148/previews/G02-200x200.jpg
Bandages Pack,Sterile bandages for wound care,300,4.7,First Aid Supplies,HealSafe,Medical Supplies,All Ages,5.99,https://images-na.ssl-images-amazon.com/images/I/81hPYFlfxKL._AC_UL200_SR200,200_.jpg
Digital Thermometer,Accurate digital thermometer,100,4.3,HealthTech,TechMed,Medical Devices,All Ages,15.99,https://images-na.ssl-images-amazon.com/images/I/51zbQFbvGIL._AC_UL200_SR200,200_.jpg
Antiseptic Solution,Antibacterial solution for wound cleaning,250,4.6,MediCare,SafeGuard,Medical Supplies,All Ages,6.99,https://microwinlabs.com/wp-content/uploads/2021/03/201-200x200.jpg
Pain Relief Gel,Fast-acting pain relief gel,180,4.4,Pharma World,RelaxaGel,Medications,Adults,9.99,https://m.media-amazon.com/images/I/41pQeOhVzdL._QL92_SH45_SS200_.jpg
Allergy Relief Tablets,Relieves allergy symptoms,220,4.1,Pharma World,AllerGuard,Medications,Adults,12.99,https://images-na.ssl-images-amazon.com/images/I/61yweNY2A7L._AC_UL200_SR200,200_.jpg
Eye Drops,Relieves dry and irritated eyes,180,4.5,MediCure,EyeClear,Medications,All Ages,7.49,https://images-na.ssl-images-amazon.com/images/I/61MWhBgwjRL._AC_UL200_SR200,200_.jpg
First Aid Kit,Comprehensive first aid kit,50,4.8,First Aid Supplies,SafeCare,Medical Supplies,All Ages,29.99,https://trailermarketing.com/wp-content/uploads/2018/01/ppe-first-aid-kit-10-person-handle-200x200.jpg
Sunscreen Lotion,Protects against harmful UV rays,120,4.6,Beauty Care,SunSafe,Personal Care,All Ages,14.99,https://images-na.ssl-images-amazon.com/images/I/61tJHXs0HhL._AC_UL200_SR200,200_.jpg
Vitamin C Tablets,Boosts immune system,180,4.3,Pharma World,VitaC,Supplements,Adults,11.99,https://images-na.ssl-images-amazon.com/images/I/71GV-HLgI3L._AC_UL200_SR200,200_.jpg
Headache Relief Tablets,Relieves headache and migraine,190,4.5,Pharma World,HeadacheEase,Medications,Adults,8.99,https://images-na.ssl-images-amazon.com/images/I/81-asm2GcGL._AC_UL200_SR200,200_.jpg
Hand Sanitizer Gel,Kills germs without water,250,4.7,MediCare,GermFree,Personal Care,All Ages,6.49,https://images-na.ssl-images-amazon.com/images/I/717znM-pv1L._AC_UL200_SR200,200_.jpg
Multi-Vitamin Capsules,Daily multivitamin supplement,210,4.4,Pharma World,VitaMulti,Supplements,Adults,13.99,https://images-na.ssl-images-amazon.com/images/I/71J+FRt+rpL._AC_UL200_SR200,200_.jpg
Nasal Spray,Relieves nasal congestion,170,4.2,MediCure,NasalClear,Medications,All Ages,7.99,https://images-na.ssl-images-amazon.com/images/I/71Yd7PT3iVL._AC_UL200_SR200,200_.jpg
Stomach Relief Tablets,Relieves indigestion and heartburn,200,4.6,Pharma World,DigestEase,Medications,Adults,10.49,https://storage.googleapis.com/images-cub-prd-9400d55.cub.prd.v8.commerce.mi9cloud.com/product-images/cell/9f6c1e48-b244-4a25-a25c-c91447a952f6.jpeg
Dental Floss,Removes plaque and food particles,220,4.3,Dental Supplies,FlossClean,Dental Care,All Ages,3.99,https://images-na.ssl-images-amazon.com/images/I/51k7AY+gTWL._AC_UL200_SR200,200_.jpg
Energy Drink,Boosts energy and alertness,180,4.1,Pharma World,EnergyBoost,Beverages,Adults,2.99,https://images-na.ssl-images-amazon.com/images/I/81m78qgaozL._AC_UL200_SR200,200_.jpg
Sleep Aid Tablets,Promotes restful sleep,150,4.5,Pharma World,SleepEase,Medications,Adults,9.49,https://images-na.ssl-images-amazon.com/images/I/71h1SKJw+8L._AC_UL200_SR200,200_.jpg
Protein Powder,Provides essential protein,160,4.7,Nutrition Supplies,ProteinMax,Nutritional Supplements,Adults,19.99,https://storage.googleapis.com/images-bks-prd-1385851.bks.prd.v8.commerce.mi9cloud.com/product-images/cell/13c32d0a-9e8f-4c71-a7ee-7240e8af32b3.jpeg
Mosquito Repellent Spray,Keeps mosquitoes away,200,4.4,MediCure,RepelSafe,Personal Care,All Ages,8.99,https://images-na.ssl-images-amazon.com/images/I/71u2nfZiUxL._AC_UL200_SR200,200_.jpg
Adhesive Bandages,Assorted sizes for minor cuts and scrapes,280,4.6,First Aid Supplies,QuickPatch,Medical Supplies,All Ages,4.49,https://images.ciamedical.com/image/data/manual/4e6aOq96E9XtIknz-200x200.jpg
Anti-Aging Cream,Reduces fine lines and wrinkles,120,4.3,Beauty Care,AgeDefy,Personal Care,Adults,17.99,https://www.merlenorman.com/dw/image/v2/BDFN_PRD/on/demandware.static/-/Sites-master-catalog/default/dwd642afd3/large/anti-aging-complex-night-cream_02766.jpg?sw=200&sh=200
Antacid Tablets,Relieves heartburn and acid indigestion,180,4.5,Pharma World,AcidEase,Medications,Adults,7.99,https://images-na.ssl-images-amazon.com/images/I/41u1hNteaiL._AC_UL200_SR200,200_.jpg
Blood Pressure Monitor,Accurate blood pressure measurement,90,4.8,HealthTech,BPTrack,Medical Devices,Adults,49.99,https://m.media-amazon.com/images/I/41OuwBhkdfL._QL92_SH45_SS200_.jpg
Hair Loss Treatment,Stimulates hair growth,200,4.2,Beauty Care,HairGrow,Personal Care,Adults,23.99,https://images-na.ssl-images-amazon.com/images/I/71KKm19ax-L._AC_UL200_SR200,200_.jpg
Fever Reducer Syrup,Reduces fever and discomfort,180,4.4,MediCure,FeverFix,Medications,All Ages,9.99,https://images-na.ssl-images-amazon.com/images/I/71IFL2gGiUS._AC_UL200_SR200,200_.jpg
Antibiotic Ointment,Topical antibiotic for wound healing,220,4.6,MediCare,HealFast,Medical Supplies,All Ages,6.99,https://images-na.ssl-images-amazon.com/images/I/51-UJ+2sexL._AC_UL200_SR200,200_.jpg
Dental Mouthwash,Freshens breath and fights plaque,200,4.5,Dental Supplies,MouthFresh,Dental Care,All Ages,5.49,https://images-na.ssl-images-amazon.com/images/I/61TybxYp0SL._AC_UL200_SR200,200_.jpg
Omega-3 Fish Oil Capsules,Promotes heart and brain health,160,4.7,Nutrition Supplies,HeartHealth,Nutritional Supplements,Adults,18.99,https://images-na.ssl-images-amazon.com/images/I/61w4XM+icRL._AC_UL200_SR200,200_.jpg
Burn Relief Gel,Cools and soothes minor burns,190,4.3,First Aid Supplies,BurnCool,Medical Supplies,All Ages,8.49,https://images-na.ssl-images-amazon.com/images/I/711TapK-inL._AC_UL200_SR200,200_.jpg
Diarrhea Relief Tablets,Relieves diarrhea symptoms,210,4.2,Pharma World,DiaGuard,Medications,Adults,7.99,https://ik.imagekit.io/WPS/tr:pr-false,f-auto,w-200/file/EN3sNOmH47Y9VlvdrP-xyg/*/a1N6F00000Qbirr?_=1&authcred=d3BzYWRtaW46TXpDWHFmNFU=
Pregnancy Test Kit,Early detection pregnancy test,100,4.8,HealthTech,PregnaCheck,Medical Devices,Adults,12.99,https://images-na.ssl-images-amazon.com/images/I/616eZ0UxkJL._AC_UL200_SR200,200_.jpg
Cold Sore Treatment,Speeds up healing of cold sores,170,4.4,Beauty Care,ColdAway,Personal Care,Adults,11.49,https://images-na.ssl-images-amazon.com/images/I/71XN-5qbgAL._AC_UL200_SR200,200_.jpg
Antifungal Cream,Treats fungal infections,180,4.3,MediCure,FungSafe,Medications,All Ages,6.99,https://images-na.ssl-images-amazon.com/images/I/71ByvQSaR-L._AC_UL200_SR200,200_.jpg
Electrolyte Drink,Promotes hydration and replenishes electrolytes,200,4.6,Pharma World,ElectroBoost,Beverages,All Ages,4.99,https://images-na.ssl-images-amazon.com/images/I/51stjXxJ6vL._AC_UL200_SR200,200_.jpg
Wound Closure Strips,For closing small wounds without stitches,250,4.5,First Aid Supplies,CloseSafe,Medical Supplies,All Ages,7.99,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7SIzIz5C2G5XbzohGwulbpdpghAJHuMUN7exAYeI7IA&s
Acne Treatment Cream,Reduces acne and blemishes,190,4.7,Beauty Care,AcneClear,Personal Care,Adults,14.99,https://images-na.ssl-images-amazon.com/images/I/61ij4nnrP0L._AC_UL200_SR200,200_.jpg
All-Purpose Cleaner,Multi-surface cleaning solution,150,4.2,Home Care,CleanMax,Household Supplies,All Ages,3.99,https://images-na.ssl-images-amazon.com/images/I/71ganSj26gL._AC_UL200_SR200,200_.jpg
Motion Sickness Tablets,Relieves nausea and vomiting,200,4.5,Pharma World,MotionEase,Medications,Adults,9.49,https://m.media-amazon.com/images/I/31kluRBMfbL.jpg
Muscle Relaxant Gel,Relieves muscle pain and stiffness,170,4.3,Pharma World,RelaxaMuscle,Medications,Adults,10.99,https://images-na.ssl-images-amazon.com/images/I/61bsXO7mpRL._AC_UL200_SR200,200_.jpg
Eyeglass Cleaner Spray,Cleans and polishes eyeglasses,210,4.6,Optical Supplies,ClearSight,Personal Care,All Ages,5.99,https://images-na.ssl-images-amazon.com/images/I/71d39ewShwL._AC_UL200_SR200,200_.jpg
Skin Moisturizing Cream,Hydrates and nourishes skin,200,4.4,Beauty Care,MoistureMax,Personal Care,Adults,12.49,https://images-na.ssl-images-amazon.com/images/I/61pXBGZnqhL._AC_UL200_SR200,200_.jpg
Probiotic Capsules,Supports digestive and immune health,180,4.8,Nutrition Supplies,ProbiMax,Nutritional Supplements,Adults,16.99,https://images-na.ssl-images-amazon.com/images/I/813B+eZ4z5L._AC_UL200_SR200,200_.jpg
Hemorrhoid Relief Cream,Relieves itching and discomfort,220,4.3,Pharma World,HemorEase,Medications,Adults,8.99,https://images-na.ssl-images-amazon.com/images/I/61583JcbOCL._AC_UL200_SR200,200_.jpg
Nail Fungus Treatment,Eliminates nail fungus,150,4.5,Beauty Care,FungusGone,Personal Care,Adults,15.49,https://images-na.ssl-images-amazon.com/images/I/71QdA9soFCL._AC_UL200_SR200,200_.jpg
Elastic Bandage Roll,Supports joints and muscles,250,4.6,First Aid Supplies,ElastiWrap,Medical Supplies,All Ages,6.99,https://m.media-amazon.com/images/S/aplus-media-library-service-media/d1588de8-f032-426d-9874-f639fe351b32.__CR0,84,3168,3168_PT0_SX220_V1___.jpg
Insect Repellent Lotion,Protects against mosquitoes and ticks,180,4.4,Outdoor Supplies,InsectGuard,Personal Care,All Ages,9.99,https://images-na.ssl-images-amazon.com/images/I/71ATDvufWzL._AC_UL200_SR200,200_.jpg
Laxative Tablets,Relieves constipation,200,4.5,Pharma World,LaxEase,Medications,Adults,7.99,https://images-na.ssl-images-amazon.com/images/I/51q0KDgC05L._AC_UL200_SR200,200_.jpg
Sore Throat Lozenges,Relieves sore throat and cough,210,4.3,Pharma World,ThroatEase,Medications,Adults,6.49,https://images-na.ssl-images-amazon.com/images/I/71b2bV+QfUL._AC_UL200_SR200,200_.jpg
Alcohol Swabs,Sterile alcohol wipes for disinfection,280,4.6,First Aid Supplies,AlcoClean,Medical Supplies,All Ages,4.99,https://images-na.ssl-images-amazon.com/images/I/51MKNX5ubCL._AC_UL200_SR200,200_.jpg
Hair Styling Gel,Provides strong hold and shine,190,4.2,Beauty Care,StyleMax,Personal Care,Adults,7.99,https://images-na.ssl-images-amazon.com/images/I/71IFLDNFWrL._AC_UL200_SR200,200_.jpg
